,food,size,price
103,Chicken Tuscano Topper (Hand Tossed & Thin Crust),Large,18.99
104,Chicken Tuscano Topper (TallBoy Crust),Large,19.99
105,Chicken Tuscano Topper (Hand Tossed Crust),Party,21.99
106,El Cubano (Hand Tossed & Thin Crust),MyZa,9.99
107,El Cubano (TallBoy Crust),MyZa,10.99
108,El Cubano (Hand Tossed & Thin Crust),Medium,15.99
109,El Cubano (TallBoy Crust),Medium,16.99
110,El Cubano (Hand Tossed & Thin Crust),Large,18.99
111,El Cubano (TallBoy Crust),Large,19.99
112,El Cubano (Hand Tossed Crust),Party,21.99
113,California Topper (Hand Tossed & Thin Crust),MyZa,9.99
114,California Topper (TallBoy Crust),MyZa,10.99
115,California Topper (Hand Tossed & Thin Crust),Medium,15.99
116,California Topper (TallBoy Crust),Medium,16.99
117,California Topper (Hand Tossed & Thin Crust),Large,18.99
118,California Topper (TallBoy Crust),Large,19.99
119,California Topper (Hand Tossed Crust),Party,21.99
121,Original Topperstix or Cinnamonstix,Single,7.49
122,Original Topperstix or Cinnamonstix,Triple,12.99
123,"Baconstix, Pepperonistix, Tacostix or Chocolate Baconstix",Single,8.49
124,"Baconstix, Pepperonistix, Tacostix or Chocolate Baconstix",Triple,13.99
127,Wings,10 Pc.,9.99
128,Wings,15 Pc.,13.99
129,Wings,25 Pc.,19.99
132,Boneless Wings,1/2 lb.,9.99
133,Boneless Wings,1 lb.,13.99
134,Boneless Wings,1 1/2 lb.,19.99
136,Dasani Water,20 oz. Bottle,1.99
137,Soft Drink,20 oz. Bottle,1.99
138,Soft Drink,2 Liter Bottle,2.99
141,Dippin' Sauce,,0.79
