,food,size,price
98,"The Don (Original, Golden or Thin Crust)",Medium,21.99
99,The Don (Mozza-Loaded Crust),Medium,22.49
100,"The Don (Original, Golden or Thin Crust)",Large,25.99
101,The Don (Mozza-Loaded Crust),Large,26.49
102,The Don (Original or Thin Crust),Jumbo,29.99
103,Super Veggie Pizza (Original or Golden Crust),Small,15.99
104,"Super Veggie Pizza (Original, Golden or Thin Crust)",Medium,20.99
105,Super Veggie Pizza (Mozza-Loaded Crust),Medium,22.49
106,"Super Veggie Pizza (Original, Golden or Thin Crust)",Large,24.99
107,Super Veggie Pizza (Mozza-Loaded Crust),Large,26.49
108,Super Veggie Pizza (Original or Thin Crust),Jumbo,28.99
109,BBQ Bacon Cheeseburger Pizza (Original Crust),Mini,5.99
110,"BBQ Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)",Small,15.99
111,"BBQ Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)",Medium,19.99
112,BBQ Bacon Cheeseburger Pizza (Mozza-Loaded Crust),Medium,22.24
113,"BBQ Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)",Large,23.99
114,BBQ Bacon Cheeseburger Pizza (Mozza-Loaded Crust),Large,26.23
115,"BBQ Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)",Jumbo,27.99
116,Chipotle Chicken and Bacon Pizza (Original Crust),Mini,5.99
117,"Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)",Small,15.99
118,"Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)",Medium,19.99
119,Chipotle Chicken and Bacon Pizza (Mozza-Loaded Crust),Medium,22.24
120,"Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)",Large,23.99
121,Chipotle Chicken and Bacon Pizza (Mozza-Loaded Crust),Large,26.23
122,"Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)",Jumbo,27.99
123,"Margherita Pizza (Original, Golden or Thin Crust)",Medium,9.99
124,Margherita Pizza (Thin Crust),Large,13.99
125,"Margherita Chicken Pizza (Original, Golden or Thin Crust)",Medium,11.99
126,Margherita Chicken Pizza (Thin Crust),Large,15.99
129,Gluten-Free Cheese Pizza,,11.99
130,Gluten-Free Beef Pizza,,12.99
131,Gluten-Free Pepperoni Pizza,,12.99
132,Gluten-Free Sausage Pizza,,12.99
133,Gluten-Free Classic Combo Pizza,,15.99
134,Gluten-Free Meat Combo Pizza,,15.99
137,Thin Crust,Medium,19.99
138,Thin Crust,Large,23.99
141,Any Calzone,,6.99
144,Original Crust,Mini,4.99
145,Original or Golden Crust,Small,12.69
146,"Original, Golden or Thin Crust",Medium,15.34
