,food,size,price
139,Sriracha Wings,8 Pc.,6.99
140,Sriracha Wings,16 Pc.,13.98
141,Sriracha Wings,24 Pc.,19.97
142,Sriracha Wings,32 pc.,24.96
143,Sriracha Wings,50 Pc.,37.49
144,Pepsi,20 oz.,1.59
145,Pepsi,2 Liter,2.69
146,Diet Pepsi,20 oz.,1.59
147,Diet Pepsi,2 Liter,2.69
148,Mountain Dew,20 oz.,1.59
149,Mountain Dew,2 Liter,2.69
150,Dr. Pepper,20 oz.,1.59
151,Dr. Pepper,2 Liter,2.69
152,Orange Crush,20 oz.,1.59
153,Orange Crush,2 Liter,2.69
154,Sierra Mist,20 oz.,1.59
155,Sierra Mist,2 Liter,2.69
156,Aquafina,20 oz.,1.59
157,Cinnamon Knots,,5.0
158,Double ChocChip Brownie,,6.0
159,Cinnapie,,4.5
160,Cinnapie Extra Icing,,5.25
161,Family Chocolate Chip Cookie,,6.0
162,Chocolate Chip Cookie Icing,,6.75
163,Brookie,,6.0
164,Special Garlic,,0.75
165,Barbeque,,0.75
166,Blue Cheese,,0.75
167,Buffalo,,0.75
168,Cheese,,0.75
169,Honey Mustard,,0.75
170,Pizza,,0.75
171,Ranch,,0.75
172,Pepperoncini,,0.75
173,Jalapeño Peppers,,0.75
174,Crushed Red Pepper,,0.0
175,Special Seasonings,,0.5
176,Banana Peppers,,0.75
177,Anchovies,,0.75
